iso3,year,gdp_pc_const2015,population,n_loans,total_loan_amount,kiva_active,log_gdp_pc,log_population,c_log_gdp_pc,c_log_gdp_pc_sq,institutional_pca1,institutional_index,financial_access_index
BRN,2014,31148.7297405401,416750.0,0.0,0.0,0,10.34652874458926,12.940241800613041,1.580447259686716,2.4978135406512503,,,
BRN,2015,30625.1287744656,422212.0,0.0,0.0,0,10.329576152718698,12.953262836540999,1.563494667816153,2.4445155762895427,,,
BRN,2016,29492.4145927789,427564.0,0.0,0.0,0,10.291888376815523,12.965859263756226,1.5258068919129784,2.3280866714091433,,,
BRN,2017,29524.65912789,432772.0,0.0,0.0,0,10.292981095796208,12.977966309412354,1.526899610893663,2.3314224217472193,,,
BTN,2013,2671.07460201171,725273.0,0.0,0.0,0,7.890236143087459,13.494303414683142,-0.8758453418150856,0.767105062779184,1.5508858378612786,1.3513278835926263,0.1610565829179904
BTN,2014,2797.81883971908,733139.0,0.0,0.0,0,7.936595406781572,13.50509059454173,-0.829486078120973,0.6880471537965128,1.5508858378612786,1.3513278835926263,0.1610565829179904
BTN,2015,2954.04081911097,740618.0,0.0,0.0,0,7.990929281246013,13.515240251784174,-0.7751522036565319,0.6008609388335775,1.5508858378612786,1.3513278835926263,0.1610565829179904
BTN,2016,3173.36773217431,747866.0,0.0,0.0,0,8.062548679029446,13.524979096523316,-0.703532805873099,0.4949584089396756,1.5508858378612786,1.3513278835926263,0.1610565829179904
BTN,2017,3211.80903275593,754335.0,2.0,20000.0,1,8.074589618989066,13.533591845401597,-0.6914918659134788,0.4781610006245045,1.5508858378612786,1.3513278835926263,0.1610565829179904
BWA,2013,6284.97678002618,2140682.0,1.0,8000.0,1,8.745917426510948,14.576635027815442,-0.02016405839159674,0.0004065892508197229,1.5511460421923764,1.3492626044986966,0.0372224621535752
BWA,2014,6547.12254115892,2172044.0,0.0,0.0,0,8.786780925412547,14.591179217657663,0.020699440510002276,0.00042846683742712327,1.5511460421923764,1.3492626044986966,0.0372224621535752
BWA,2015,6141.20394726616,2203273.0,0.0,0.0,0,8.722776084536143,14.605454540031442,-0.043305400366401514,0.0018753577008943285,1.5511460421923764,1.3492626044986966,0.0372224621535752
BWA,2016,6490.83463593483,2234776.0,0.0,0.0,0,8.778146404809219,14.619651557293428,0.012064919906674021,0.00014556229235445907,1.5511460421923764,1.3492626044986966,0.0372224621535752
