country_code,year,n_loans,total_loan_amount,log_total_loan_amount,log_gdp_pc,population,log_population,institutional_pca1,institutional_index,financial_access_index,poverty_rate
KG,2015,2211,2699650.0,14.80863269294228,7.008190429517271,6045117.0,15.614761396682438,-0.1905952793088575,-0.2258522716711309,-0.1152716796034346,11.0
KG,2016,1381,1493675.0,14.216750084196413,7.028481677609845,6045117.0,15.614761396682438,-0.1905952793088575,-0.2258522716711309,-0.1152716796034346,8.0
KG,2017,514,624350.0,13.34446638754329,7.053743672870573,6045117.0,15.614761396682438,-0.1905952793088575,-0.2258522716711309,-0.1152716796034346,8.2
KH,2013,343,288950.0,12.574008941745925,7.227150803535254,16005373.0,16.588435036331656,-0.0674564638311513,-0.1265817627465109,-0.2751376939842131,
KH,2014,6259,4348000.0,15.285226527223237,7.289290442019108,16005373.0,16.588435036331656,-0.0674564638311513,-0.1265817627465109,-0.2751376939842131,
KH,2015,7554,5061100.0,15.437094408941931,7.344279748653595,16005373.0,16.588435036331656,-0.0674564638311513,-0.1265817627465109,-0.2751376939842131,
KH,2016,11593,5421775.0,15.505933810577337,7.405779340759346,16005373.0,16.588435036331656,-0.0674564638311513,-0.1265817627465109,-0.2751376939842131,
KH,2017,9087,4752875.0,15.374260256070851,7.4696172880139295,16005373.0,16.588435036331656,-0.0674564638311513,-0.1265817627465109,-0.2751376939842131,
LA,2014,158,219725.0,12.300132043432846,7.604053467121511,6858160.0,15.740949742149883,0.1473287658186864,0.0049378752681262,-0.311036318280728,
LA,2015,648,512550.0,13.147153546211548,7.659649268063672,6858160.0,15.740949742149883,0.1473287658186864,0.0049378752681262,-0.311036318280728,
LA,2016,330,248400.0,12.422795629041461,7.711889560576734,6858160.0,15.740949742149883,0.1473287658186864,0.0049378752681262,-0.311036318280728,
LA,2017,350,180825.0,12.10528499171748,7.762840347695303,6858160.0,15.740949742149883,0.1473287658186864,0.0049378752681262,-0.311036318280728,
LB,2013,5,7150.0,8.874867635688053,9.041156761014577,6082357.0,15.620902843293576,-0.8992233200038201,-0.7481540782728945,-0.0080179135657675,
LB,2014,1330,1956250.0,14.4865399332706,8.965770803075568,6082357.0,15.620902843293576,-0.8992233200038201,-0.7481540782728945,-0.0080179135657675,
LB,2015,2661,3661875.0,15.11348586928119,8.950806398438399,6082357.0,15.620902843293576,-0.8992233200038201,-0.7481540782728945,-0.0080179135657675,
LB,2016,3138,4168425.0,15.243048824587463,8.989586674103801,6082357.0,15.620902843293576,-0.8992233200038201,-0.7481540782728945,-0.0080179135657675,
LB,2017,1658,2365100.0,14.676330862312355,9.02468214118266,6082357.0,15.620902843293576,-0.8992233200038201,-0.7481540782728945,-0.0080179135657675,
LR,2013,208,46725.0,10.752034632323763,6.575085994465748,4731906.0,15.369838639132473,-0.5487648549834702,-0.5828063998690499,-0.6707980442672459,
LR,2014,1848,492700.0,13.107655748532055,6.561253689016782,4731906.0,15.369838639132473,-0.5487648549834702,-0.5828063998690499,-0.6707980442672459,31.7
LR,2015,34,13150.0,9.48417703760591,6.540438312419157,4731906.0,15.369838639132473,-0.5487648549834702,-0.5828063998690499,-0.6707980442672459,
LR,2016,460,193975.0,12.17548456376215,6.504335347836498,4731906.0,15.369838639132473,-0.5487648549834702,-0.5828063998690499,-0.6707980442672459,33.6
LR,2017,1132,451275.0,13.019832188756663,6.509157883807223,4731906.0,15.369838639132473,-0.5487648549834702,-0.5828063998690499,-0.6707980442672459,
LS,2015,32,29300.0,10.285342795005159,7.022153493411394,2233339.0,14.619008333003299,-0.1296472861699744,-0.1455994930299183,-0.5303081305550024,
LS,2016,227,200350.0,12.20782111606429,7.04541718130876,2233339.0,14.619008333003299,-0.1296472861699744,-0.1455994930299183,-0.5303081305550024,
LS,2017,163,129875.0,11.774327728401529,7.001083193694292,2233339.0,14.619008333003299,-0.1296472861699744,-0.1455994930299183,-0.5303081305550024,41.9
MD,2014,4,11300.0,9.332558004700433,7.914910633093125,4051212.0,15.214526653572861,0.0722493560782917,0.0570261677112089,0.8683968955587792,0.0
MD,2015,66,140625.0,11.853852051940821,7.919193039367943,4051212.0,15.214526653572861,0.0722493560782917,0.0570261677112089,0.8683968955587792,0.1
MD,2016,183,341400.0,12.740810089342478,7.976236439923536,4051212.0,15.214526653572861,0.0722493560782917,0.0570261677112089,0.8683968955587792,0.2
MD,2017,95,225400.0,12.325631880587814,8.034414891109448,4051212.0,15.214526653572861,0.0722493560782917,0.0570261677112089,0.8683968955587792,0.1
MG,2015,1001,329100.0,12.704116934931431,6.098793280884404,25570895.0,17.05696534861023,-0.4537985430166574,-0.4887554947282693,-0.84595942571709,
MG,2016,1865,629375.0,13.352482542454963,6.111814495049769,25570895.0,17.05696534861023,-0.4537985430166574,-0.4887554947282693,-0.84595942571709,
MG,2017,955,277550.0,12.533756376118307,6.124359179862154,25570895.0,17.05696534861023,-0.4537985430166574,-0.4887554947282693,-0.84595942571709,
ML,2013,92,76450.0,11.244392211357209,6.670537458417737,18541980.0,16.73554790851619,-1.298213260745867,-1.0788286694418436,-0.7343388355643711,
ML,2014,2935,3238475.0,14.99061309795203,6.701930465414495,18541980.0,16.73554790851619,-1.298213260745867,-1.0788286694418436,-0.7343388355643711,
ML,2015,1566,2076925.0,14.546398992432565,6.731161132497182,18541980.0,16.73554790851619,-1.298213260745867,-1.0788286694418436,-0.7343388355643711,
ML,2016,1597,2363875.0,14.675812779629574,6.757807675312093,18541980.0,16.73554790851619,-1.298213260745867,-1.0788286694418436,-0.7343388355643711,
ML,2017,449,1230975.0,14.023317096268245,6.778285738287892,18541980.0,16.73554790851619,-1.298213260745867,-1.0788286694418436,-0.7343388355643711,
MM,2014,77,529475.0,13.179641228555802,7.00237783835339,53370609.0,17.792770759150027,-0.9875481995633876,-0.8870082380744154,-0.6368221294713464,
MM,2015,163,670400.0,13.41562982815001,7.061962861886975,53370609.0,17.792770759150027,-0.9875481995633876,-0.8870082380744154,-0.6368221294713464,18.2
MM,2016,740,1200875.0,13.99856101571204,7.111005576910716,53370609.0,17.792770759150027,-0.9875481995633876,-0.8870082380744154,-0.6368221294713464,
MM,2017,890,841550.0,13.643000708554313,7.162834681059614,53370609.0,17.792770759150027,-0.9875481995633876,-0.8870082380744154,-0.6368221294713464,10.3
MN,2013,61,92525.0,11.435234157254357,8.196686802227164,3075647.0,14.939025843594477,0.7595142609183977,0.6106421096420495,1.6158395889779442,
MN,2014,707,1207875.0,14.004373175301609,8.25071379070713,3075647.0,14.939025843594477,0.7595142609183977,0.6106421096420495,1.6158395889779442,0.8
