country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
PA,2016,48,60225.0,14474.124340577031,9.580117806005246
PA,2017,1,30000.0,15045.545619615034,9.618837254250028
PE,2013,373,330775.0,6021.461427652321,8.703085270909416
PE,2014,7545,8750325.0,6103.918647499693,8.716686245139517
PE,2015,5644,8105300.0,6231.711503388939,8.737406293698061
PE,2016,6125,9409475.0,6392.254749410137,8.762842341065296
PE,2017,2546,4271525.0,6457.419402547214,8.772985043676032
PH,2013,739,275850.0,2654.415069339782,7.883979596537222
PH,2014,37778,13961450.0,2776.9200590947853,7.929097700106275
PH,2015,46021,16083375.0,2909.8581801030064,7.97585962361814
PH,2016,48262,16218925.0,3076.3374186758983,8.031495018587451
PH,2017,27641,8802625.0,3247.450387836204,8.085625471395328
PK,2013,220,99450.0,1309.7008044638596,7.177553996570382
PK,2014,5887,3012550.0,1343.3077812104252,7.202890344660264
PK,2015,6456,3408700.0,1380.4702083831723,7.230179450828167
PK,2016,9056,4421425.0,1452.1865826917658,7.280825687605685
PK,2017,5238,2352625.0,1495.261875280324,7.310056637896355
PR,2015,12,54300.0,29242.04146508496,10.283362728973948
PR,2016,29,155700.0,29326.57487618734,10.286249376297468
PR,2017,10,76000.0,29061.556380271104,10.277171493166762
PS,2013,130,226350.0,3309.631202430981,8.104592042958386
PS,2014,1510,2145575.0,3227.8493448264458,8.079571356933425
PS,2015,2052,3238875.0,3272.1543236070793,8.093203861526996
PS,2016,3080,5189400.0,3483.0990353297207,8.15567770387785
PS,2017,1395,2270700.0,3462.97986107136,8.149884728928209
PY,2013,192,586400.0,5583.1227447356605,8.627503530513009
PY,2014,2742,6765625.0,5794.476446899848,8.66466040603236
PY,2015,3341,8118950.0,5879.337923087617,8.679199436438678
PY,2016,3840,9819725.0,6041.958793673485,8.706483541942143
PY,2017,1788,4338375.0,6243.133631390297,8.739237519828704
RW,2013,72,57900.0,666.408788783175,6.501903279215809
RW,2014,1866,2297725.0,690.6103949443562,6.537575836890622
RW,2015,1975,4898375.0,733.9986298824938,6.598507161967669
RW,2016,2143,6406150.0,759.6062881551089,6.632800257149139
RW,2017,679,2986150.0,771.0692375135824,6.647778171753896
SB,2014,4,2025.0,2085.1606727308595,7.642601192525638
SB,2015,116,87500.0,2045.477215266493,7.623386398351899
SB,2016,117,117225.0,2084.2484574522523,7.642163617193173
SB,2017,317,305800.0,2075.3670530230474,7.637893310044228
SL,2013,165,80050.0,1146.8197345647545,7.044747942236418
SL,2014,2057,1322400.0,1032.2378935590461,6.939484436491123
SL,2015,489,623125.0,964.5759808889885,6.87168860673288
SL,2016,1374,1393325.0,1002.7786228201277,6.910530048566019
SL,2017,1330,761625.0,1010.5469407120731,6.918246988720806
SN,2013,56,88750.0,1147.3859217191023,7.045241522368863
SN,2014,1230,2354650.0,1180.798710850501,7.073946362086213
SN,2015,823,1940150.0,1218.0061355543774,7.1049704856581215
SN,2016,543,1390350.0,1257.4090691592796,7.136808588551612
SN,2017,617,1260025.0,1312.109327760492,7.1793912951181
SO,2014,29,62525.0,417.5167969063951,6.034324775592746
SO,2015,36,85850.0,445.583080073396,6.099383716782181
SO,2016,8,63200.0,458.92147682460546,6.128879120969444
SO,2017,2,14300.0,506.50109887945945,6.2275264932410925
SR,2014,106,291725.0,9224.243784105467,9.129590490925912
SR,2015,95,210800.0,8813.61705392067,9.084053196979129
SR,2016,22,48275.0,8293.315530314065,9.023205111516392
SS,2014,48,23750.0,1197.0949196947931,7.087653000404691
SS,2015,111,47150.0,1080.1471862476544,6.984852594395147
SS,2017,1,50000.0,,
SV,2013,539,323250.0,3665.1547327058047,8.206625832448873
SV,2014,13044,8423825.0,3713.94992016222,8.219851257751255
SV,2015,11952,8231200.0,3790.3408910816156,8.24021123890809
SV,2016,9302,6348300.0,3875.846913579542,8.26251947625016
SV,2017,5038,3277075.0,3954.840142775724,8.28269546036484
TG,2014,857,410750.0,730.2910496112324,6.593443152781048
TG,2015,2088,381075.0,751.0519875872484,6.621474873851917
TG,2016,1841,428950.0,763.2761853533017,6.6376199387281645
TG,2017,963,315600.0,774.2748973474355,6.651926975065305
TH,2014,24,54600.0,5541.465993618451,8.620014364522413
TH,2015,20,43350.0,5688.853353978842,8.646263987300964
TH,2016,94,192300.0,5857.780529359259,8.675526061571343
TH,2017,42,135850.0,6076.743077000816,8.712224153308561
TJ,2013,129,139700.0,889.8823830999792,6.791089300172852
TJ,2014,4353,4549450.0,925.970961482804,6.830842875064628
TJ,2015,4536,3739125.0,956.916310930656,6.863715938235779
TJ,2016,6418,4085150.0,997.3526145567084,6.90510438301683
TJ,2017,4144,2516925.0,1042.2639175764189,6.949150470067211
TL,2013,47,43750.0,1281.928640431865,7.1561209732417375
TL,2014,761,636200.0,1312.964949886387,7.180043179267422
TL,2015,1055,1016500.0,1319.5929500315403,7.185078596836018
TL,2016,602,544000.0,1333.6585611756805,7.195681242571816
TL,2017,225,193450.0,1267.086615976755,7.144475541028498
TR,2013,15,6750.0,10269.448914077338,9.236928641704614
TR,2014,239,99225.0,10597.980188171632,9.268418713657832
TR,2015,532,228650.0,11064.649450466248,9.311510571049386
TR,2016,663,286225.0,11279.616953156876,9.330752566421994
TR,2017,254,122950.0,12005.645982483235,9.393132316660674
TZ,2013,33,93675.0,882.8115234375,6.783111727579558
TZ,2014,1292,2571225.0,913.811218261719,6.817624005549459
TZ,2015,1672,1789550.0,939.127319335938,6.844951060363835
TZ,2016,1774,1868950.0,970.156127929688,6.877457015173844
TZ,2017,448,504325.0,1001.55895996094,6.909313025026465
UA,2013,17,39025.0,2432.41625976563,7.7966403878830555
UA,2014,366,760650.0,2308.6435546875,7.744415425280027
UA,2015,228,328700.0,2094.47387695313,7.647057668097867
UA,2016,236,337650.0,2156.0830078125,7.676048432128427
UA,2017,116,148175.0,2217.7529296875,7.704249768417747
UG,2013,41,18250.0,828.9886697299859,6.7202064876474275
UG,2014,7390,5739825.0,845.9786647910992,6.74049414036517
UG,2015,6152,4633475.0,862.9346103558107,6.760338918057233
UG,2016,4538,3370100.0,874.6483706392157,6.773821943462781
UG,2017,2480,1627700.0,871.0938800171507,6.769749755220039
US,2013,34,174675.0,54462.62524124069,10.905269970009755
US,2014,1009,4707875.0,55394.45104353294,10.92223470604978
US,2015,1207,6599125.0,56572.91889960634,10.943285685019262
US,2016,1102,6695750.0,57151.47084483721,10.953460405459357
US,2017,746,3950100.0,58151.70213918542,10.970810429043523
VC,2014,2,2025.0,7116.220713472066,8.870132064812884
VC,2015,14,47200.0,7353.7355605418425,8.902963702626419
VN,2013,102,90850.0,2320.0843144493388,7.749358806435045
